1|"ACEITUNAS & ENCURTIDOS"
2|"CEREALES DESAYUNO"
3|"CEREALES INFLADOS"
4|"COMESTIBLES"
5|"CONDIMENTOS"
6|"COPETÍN"
7|"ENLATA"
8|"FRESCOS"
9|"FRUTAS SECAS"
10|"GALLETITAS"
11|"LEGUMBRES"
12|"LIMPIEZA"
13|"PANIFICACIÓN"
14|"VARIOS"
